location,latitude,longitude,status,investment_eur,company,tech,component
Billy-Berclau _ Douvrin,,,operational,850000000.0,ACC,battery,cell_manufacturing
Navalmoral de la Mata,39.8928306,-5.5401199,operational,1000000000.0,AESC Envision,battery,cell_manufacturing
Sunderland,54.9058512,-1.3828727,actual,521999999.9999999,AESC Envision,battery,cell_manufacturing
Oberhausen,51.4696137,6.8514435,operational,57173913.043478265,Air Liquide,hydrogen,green_hydrogen
Darmstadt,49.8851869,8.6736295,operational,100000000.0,Akasol,battery,cell_manufacturing
Frankfurt (Oder),52.3412273,14.549452,actual,36750000.0,Astronergy Solarmodule GmbH,solar,modules
Brussel,50.8465573,4.351697,operational,967200000.0,Audi,zero_emission_vehicle,battery_vehicle_assembly
Böllinger Höfe,49.1789606,9.167642566842364,operational,8060000.0,Audi,zero_emission_vehicle,battery_vehicle_assembly
Disneyland Paris,48.87007635000001,2.773909350791818,operational,3790500.0,Axpo,solar,modules
Domat_Ems,46.8351271,9.4506859,operational,7360000.0,Axpo,hydrogen,green_hydrogen
Debrecen,47.531399,21.6259782,operational,1209000000.0,BMW,zero_emission_vehicle,battery_vehicle_assembly
Regensburg,49.0195333,12.0974869,operational,8060000.0,BMW,zero_emission_vehicle,battery_vehicle_assembly
Karlstein,50.0443203,9.0337844,operational,1047000000.0,BMZ,battery,cell_manufacturing
Karlstein,50.0443203,9.0337844,actual,120000000.0,BMZ,battery,cell_manufacturing
Altenau,51.8034705,10.4472774,operational,105000.0,BYD,solar,modules
Komárom,47.7417349,18.1218256,operational,20000000.0,BYD,zero_emission_vehicle,battery_vehicle_assembly
Dübendorf,47.3969942,8.6185666,operational,2760000.0,Battrion,battery,battery_materials
Venissieux,45.6977109,4.8855966,operational,15750000.0,Bosch,solar,modules
Vénissieux,45.6977109,4.8855966,operational,15750000.0,Bosch,solar,modules
Patras,38.246242,21.7350847,actual,8600000.0,Brite Solar,solar,modules
Tarnow,50.02598829999999,20.96405842696229,operational,3150000.0,Bruk-Bet Solar,solar,modules
Tarnów,50.02598829999999,20.96405842696229,operational,3150000.0,Bruk-Bet Solar,solar,modules
Arnstadt,50.8349097,10.9461479,operational,1800000000.0,CATL,battery,cell_manufacturing
Arnstadt,50.8349097,10.9461479,actual,977200000.0,CATL,battery,cell_manufacturing
Thueringia,50.3408448,11.1828245,actual,1800000000.0,CATL,battery,cell_manufacturing
Thuringia,50.9014721,11.0377839,operational,1800000000.0,CATL,battery,cell_manufacturing
Thuringia,50.9014721,11.0377839,actual,977200000.0,CATL,battery,cell_manufacturing
Wismar,53.8909832,11.4647932,operational,31500000.0,CS Wismar GmbH,solar,modules
AVL site,,,operational,1905797.1014492754,Ceres,hydrogen,green_hydrogen
Folelli,42.444114,9.5069988,actual,285869.5652173913,Corsica Sole,hydrogen,green_hydrogen
Fredericia,55.565268,9.7562169,actual,38115942.02898551,Crossbridge Energy A_S,hydrogen,green_hydrogen
Bremen,53.0758196,8.8071646,operational,403000000.0,Daimler,zero_emission_vehicle,battery_vehicle_assembly
Leipzig,51.3406321,12.3747329,operational,48000000.0,Dräxlmaier,battery,module_assembly
