location,latitude,longitude,status,investment_eur,company,tech,component
Southern Italy,,,operational,28666666.666666668,Enel,solar,modules
Southern Italy,,,announced,600000000.0,Enel,solar,modules
Vranow,,,announced,21500000.0,Agora Solar,solar,modules
Borlänge,60.4856426,15.4234561,announced,20000000000.0,Northvolt,battery,battery_materials
Garzweiler Mine,,,operational,2780666.6666666665,RWE,solar,modules
Apulia,40.9842539,16.6210027,operational,7166666.666666667,Midsummer,solar,modules
Langenwetzendorf,50.6803176,12.10921,operational,21000000.0,Heckert Solar,solar,modules
Langenwetzendorf,50.6803176,12.10921,announced,2000000000.0,Heckert Solar,solar,modules
Sunderland,54.9058512,-1.3828727,actual,521999999.9999999,AESC Envision,battery,cell_manufacturing
Sunderland,54.9058512,-1.3828727,announced,232000000.0,AESC Envision,battery,cell_manufacturing
Sunderland,54.9058512,-1.3828727,announced,2088000000.0,AESC Envision,battery,cell_manufacturing
Altenau,51.8034705,10.4472774,operational,143333.33333333334,BYD,solar,modules
Venissieux,45.6977109,4.8855966,operational,21500000.0,Bosch,solar,modules
near Milan,,,operational,11466666.666666668,Verditek,solar,modules
Goliath,52.6148632,-2.9079622,operational,324800.0,Ilika,battery,cell_manufacturing
Goliath,52.6148632,-2.9079622,announced,134984.61538461538,Ilika,battery,cell_manufacturing
Billy-Berclau _ Douvrin,,,operational,850000000.0,ACC,battery,cell_manufacturing
Turin,45.0677551,7.6824892,announced,134984.61538461538,Comau,battery,cell_manufacturing
Debrecen,47.531399,21.6259782,operational,1080000000.0,Eve Energy,battery,cell_manufacturing
Eindhoven,51.4392648,5.478633,operational,3000000.0,Solarge,solar,modules
Eindhoven,51.4392648,5.478633,announced,71666666.66666667,Solarge,solar,modules
Freiburg,47.9960901,7.8494005,operational,24366666.666666668,SolarWorld,solar,modules
Freiburg,47.9960901,7.8494005,operational,86000000.0,SolarWorld,solar,modules
Budapest,47.4978789,19.0402383,announced,60750000.0,Samsung,battery,cell_manufacturing
Budapest,47.4978789,19.0402383,actual,720000000.0,Samsung,battery,cell_manufacturing
Asturias,43.3133868,-5.94192,announced,71666666.66666667,Iberdrola,solar,modules
Prapretno,46.0845959,15.3779556,announced,430000.0,Dravske elektrarne Maribor,solar,modules
Arnhem,51.984257,5.9108573,announced,29000000.0,Hyet Solar,solar,modules
Benevento,41.2476307,14.70570536314653,announced,50000000.0,Solitek,solar,modules
Puriton,51.1705026,-2.9725725,announced,4640000000.0,Agratas,battery,cell_manufacturing
Frankfurt (Oder),52.3412273,14.549452,announced,48733333.333333336,Astronergy Solarmodule GmbH,solar,modules
Frankfurt (Oder),52.3412273,14.549452,actual,50166666.66666667,Astronergy Solarmodule GmbH,solar,modules
Debrecen,47.531399,21.6259782,announced,8100000000.0,Contemporary Amperex Technology Co. Limited (CATL),battery,cell_manufacturing
Dinsheim-sur-Bruche,48.5430561,7.4269445,announced,9300000.0,Voltec Solar,solar,modules
Dinsheim-sur-Bruche,48.5430561,7.4269445,operational,15000000.0,Voltec Solar,solar,modules
Gdańsk,54.3482907,18.6540233,operational,120416666.66666666,Northvolt,battery,module_assembly
Gdańsk,54.3482907,18.6540233,announced,170000000.0,Northvolt,battery,module_assembly
Dresden,51.0493286,13.7381437,operational,43000000.0,Solarwatt,solar,modules
International Advanced Manufacturing Park,54.92555595,-1.477774134787026,announced,521999999.9999999,AESC Envision,battery,cell_manufacturing
