country,actual,announced,operational
Slovenia,,0.00043,
Croatia,,,0.0005016666666666666
Estonia,,,0.01
Switzerland,,3.870702564102564e-05,0.0120646
Austria,,0.028666666666666667,
Romania,,0.17093333333333335,
Netherlands,,0.2225,0.03833333333333334
Portugal,,2.0,
Slovakia,,2.0462692307692305,0.006749230769230769
Poland,0.571,1.2998948717948717,1.5344666666666666
Spain,2.6996923076923074,2.1385,0.02709
France,,8.99445923076923,1.0728904871794873
Italy,5.324461538461538,4.740584984615385,0.0817
Germany,0.249,9.607544217179488,1.626546816051282
Hungary,1.42,9.78375,2.399
Finland,,13.805507692307694,0.002866666666666667
Norway,1.445,13.965661538461537,0.00873
United Kingdom,4.571538461538461,19.582505163384617,0.12281428717948717
Sweden,3.374615384615385,23.621376923076923,3.2396307692307693
